1,安信达,0,anxindakuaixi,A,2,http://www.anxinda.com,0
2,包裹平邮,1,youzhengguonei,B,2,http://yjcx.chinapost.com.cn,0
3,CCES,1,cces,C,2,http://www.cces.com.cn,0
4,传喜物流,1,chuanxiwuliu,C,2,http://www.cxcod.com,0
5,DHL快递,1,dhl,D,2,http://www.cn.dhl.com,0
6,大田物流,1,datianwuliu,D,2,http://www.dtw.com.cn,0
7,德邦物流,1,debangwuliu,D,2,http://www.deppon.com,0
8,EMS,1,ems,E,2,http://www.ems.com.cn,0
9,EMS国际,1,emsguoji,E,2,###,0
10,飞康达,1,feikangda,F,2,http://www.fkd.com.cn,0
11,FedEx(国际),1,fedex,F,2,http://fedex.com/cn,0
12,凡客如风达,1,rufengda,F,2,http://www.rufengda.com,0
13,港中能达,1,ganzhongnengda,G,2,http://www.nd56.com,0
14,挂号信,1,youzhengguonei,G,2,http://yjcx.chinapost.com.cn,0
15,共速达,1,gongsuda,G,2,http://www.gongsuda.com/mall/Search.aspx,0
16,汇通快递,1,huitongkuaidi,H,2,http://www.htky365.com,0
17,华宇物流,1,tiandihuayu,H,2,http://www.hoau.net,0
18,佳吉快运,1,jiajiwuliu,J,2,http://www.jiaji.com,0
19,佳怡物流,1,jiayiwuliu,J,2,http://www.jiayi56.com,0
20,急先达,1,jixianda,J,2,http://www.joust.cn,0
21,快捷速递,1,kuaijiesudi,K,2,http://www.fastexpress.com.cn,0
22,龙邦快递,1,longbanwuliu,L,2,http://www.lbex.com.cn,0
23,联邦快递,1,lianbangkuaidi,L,2,http://cndxp.apac.fedex.com/dxp.html,0
24,联昊通,1,lianhaowuliu,L,2,http://www.lhtex.com.cn,0
25,全一快递,1,quanyikuaidi,Q,2,http://www.apex100.com,0
26,全峰快递,1,quanfengkuaidi,Q,2,http://www.qfkd.com.cn,0
27,全日通,1,quanritongkuaidi,Q,2,http://www.at-express.com,0
28,申通快递,1,shentong,S,2,http://www.sto.cn,0
29,顺丰快递,1,shunfeng,S,1,http://www.sf-express.com,0
30,速尔快递,1,suer,S,2,http://www.sure56.com,0
31,TNT快递,1,tnt,T,2,http://www.tnt.com.cn,0
32,天天快递,1,tiantian,T,2,http://www.ttkdex.com,0
33,天地华宇,1,tiandihuayu,T,2,http://www.hoau.net,0
34,UPS快递,1,ups,U,2,http://www.ups.com/cn,0
35,USPS,1,usps,U,2,http://www.kuaidi100.com/all/usps.shtml,0
36,新邦物流,1,xinbangwuliu,X,2,http://www.xbwl.cn,0
37,信丰物流,1,xinfengwuliu,X,2,http://www.xf-express.com.cn,0
38,希伊艾斯,1,cces,X,2,http://www.cces.com.cn,0
39,新蛋物流,1,neweggozzo,X,2,http://www.ozzo.com.cn,0
40,圆通快递,1,yuantong,Y,1,http://www.yto.net.cn,0
41,韵达快递,1,yunda,Y,1,http://www.yundaex.com,0
42,邮政包裹,1,youzhengguonei,Y,2,http://yjcx.chinapost.com.cn,0
43,优速快递,1,youshuwuliu,Y,2,http://www.uc56.com,0
44,中通快递,1,zhongtong,Z,1,http://www.zto.cn,0
45,中铁快运,1,zhongtiewuliu,Z,2,http://www.cre.cn,0
46,宅急送,1,zhaijisong,Z,2,http://www.zjs.com.cn,0
47,中邮物流,1,zhongyouwuliu,Z,2,http://www.cnpl.com.cn,0
